timestamp,sensor_type,x,y,z,w
1753148607327,TYPE_ACCELEROMETER,-0.933739,0.347159,12.346898,
1753148607327,TYPE_ROTATION_VECTOR,0.089691,0.012703,-0.141744,0.98575
1753148607328,TYPE_LINEAR_ACCELERATION,-0.438794,-1.3516,2.701193,
1753148607328,TYPE_MAGNETIC_FIELD,5.22,-18.779999,-112.860001,
1753148607328,TYPE_ACCELEROMETER,-1.187524,0.397437,11.274296,
1753148607328,TYPE_ROTATION_VECTOR,0.089655,0.018863,-0.12732,0.987621
1753148607370,TYPE_LINEAR_ACCELERATION,-0.598264,-1.292121,1.632276,
1753148607370,TYPE_ACCELEROMETER,-1.340753,0.454898,10.388441,
1753148607370,TYPE_ROTATION_VECTOR,0.089629,0.018872,-0.127322,0.987623
1753148607371,TYPE_LINEAR_ACCELERATION,-0.751379,-1.23413,0.746335,
1753148607371,TYPE_ACCELEROMETER,-1.489193,0.584185,9.524135,
1753148607371,TYPE_MAGNETIC_FIELD,5.64,-18.48,-112.559998,
1753148607371,TYPE_ROTATION_VECTOR,0.089506,0.018921,-0.12733,0.987632
1753148607371,TYPE_LINEAR_ACCELERATION,-0.899148,-1.102364,-0.118364,
1753148607371,TYPE_ACCELEROMETER,-1.553837,0.751779,8.942344,
1753148607371,TYPE_ROTATION_VECTOR,0.091119,0.024273,-0.11627,0.988731
1753148607372,TYPE_LINEAR_ACCELERATION,-0.875336,-0.959864,-0.689909,
1753148607372,TYPE_ACCELEROMETER,-1.541866,0.92895,8.588001,
1753148607372,TYPE_ROTATION_VECTOR,0.090769,0.024438,-0.116297,0.988756
1753148607372,TYPE_LINEAR_ACCELERATION,-0.860903,-0.77556,-1.045343,
1753148607372,TYPE_MAGNETIC_FIELD,6.42,-18.66,-112.199997,
1753148607372,TYPE_ACCELEROMETER,-1.553837,1.077391,8.516175,
1753148607383,TYPE_ROTATION_VECTOR,0.091409,0.027839,-0.106391,0.989722
1753148607383,TYPE_LINEAR_ACCELERATION,-0.822684,-0.638932,-1.111391,
1753148607383,TYPE_ACCELEROMETER,-1.520318,1.228225,8.535329,
1753148607383,TYPE_ROTATION_VECTOR,0.090985,0.028092,-0.106429,0.98975
1753148607384,TYPE_LINEAR_ACCELERATION,-0.78506,-0.479367,-1.093477,
1753148607384,TYPE_MAGNETIC_FIELD,7.98,-18.66,-111.839996,
1753148607384,TYPE_ACCELEROMETER,-1.443704,1.343147,8.645462,
1753148607384,TYPE_ROTATION_VECTOR,0.090666,0.028314,-0.106461,0.98977
1753148607384,TYPE_LINEAR_ACCELERATION,-0.704731,-0.357796,-0.984237,
1753148607384,TYPE_ACCELEROMETER,-1.285686,1.374272,8.801085,
1753148607384,TYPE_ROTATION_VECTOR,0.090262,0.030104,-0.092593,0.991147
1753148607384,TYPE_LINEAR_ACCELERATION,-0.536545,-0.325729,-0.827994,
1753148607384,TYPE_ACCELEROMETER,-1.01993,1.417367,8.918402,
1753148607385,TYPE_ROTATION_VECTOR,0.090063,0.030262,-0.092614,0.991159
1753148607385,TYPE_LINEAR_ACCELERATION,-0.268052,-0.278478,-0.711197,
1753148607385,TYPE_MAGNETIC_FIELD,9.059999,-19.32,-111.419998,
1753148607385,TYPE_ACCELEROMETER,-0.790087,1.458069,9.004593,
1753148607385,TYPE_ROTATION_VECTOR,0.088825,0.031774,-0.068869,0.993155
1753148607385,TYPE_LINEAR_ACCELERATION,-0.051185,-0.229243,-0.627509,
1753148607385,TYPE_ACCELEROMETER,-0.466869,1.477222,9.157822,
1753148607385,TYPE_ROTATION_VECTOR,0.088689,0.03187,-0.068882,0.993164
1753148607386,TYPE_LINEAR_ACCELERATION,0.273756,-0.207307,-0.474634,
1753148607386,TYPE_ACCELEROMETER,-0.153229,1.51553,9.409213,
1753148607386,TYPE_MAGNETIC_FIELD,10.08,-19.619999,-111.479996,
1753148607386,TYPE_ROTATION_VECTOR,0.088566,0.031937,-0.068893,0.993172
1753148607386,TYPE_LINEAR_ACCELERATION,0.58856,-0.166524,-0.223587,
1753148607386,TYPE_ACCELEROMETER,0.181959,1.532289,9.718064,
1753148607386,TYPE_ROTATION_VECTOR,0.086509,0.033133,-0.045555,0.994657
1753148607386,TYPE_LINEAR_ACCELERATION,0.905621,-0.125769,0.079727,
1753148607386,TYPE_ACCELEROMETER,0.414197,1.541866,9.974244,
1753148607387,TYPE_ROTATION_VECTOR,0.08639,0.033126,-0.045559,0.994668
1753148607387,TYPE_LINEAR_ACCELERATION,1.137631,-0.1139,0.335496,
1753148607387,TYPE_MAGNETIC_FIELD,10.8,-19.92,-111.599998,
1753148607387,TYPE_ACCELEROMETER,0.636858,1.534683,10.218452,
1753148607387,TYPE_ROTATION_VECTOR,0.083505,0.033782,-0.023408,0.995659
1753148607387,TYPE_LINEAR_ACCELERATION,1.334886,-0.080513,0.570951,
1753148607388,TYPE_ACCELEROMETER,0.857124,1.551443,10.503363,
1753148607388,TYPE_ROTATION_VECTOR,0.082889,0.033135,-0.023376,0.995733
1753148607388,TYPE_LINEAR_ACCELERATION,1.542239,-0.052161,0.853002,
1753148607388,TYPE_ACCELEROMETER,0.902614,1.632846,10.711658,
1753148607388,TYPE_MAGNETIC_FIELD,11.4,-20.16,-111.059998,
1753148607388,TYPE_ROTATION_VECTOR,0.082253,0.032087,-0.023312,0.995822
1753148607389,TYPE_LINEAR_ACCELERATION,1.56693,0.041002,1.057897,
1753148607389,TYPE_ACCELEROMETER,0.897826,1.774103,10.800244,
1753148607389,TYPE_ROTATION_VECTOR,0.077507,0.039195,0.07665,0.993268
1753148607389,TYPE_LINEAR_ACCELERATION,1.544874,0.205237,1.14155,
1753148607389,TYPE_ACCELEROMETER,0.873884,1.843535,10.785878,
1753148607389,TYPE_ROTATION_VECTOR,0.077468,0.038958,0.076668,0.993279
1753148607389,TYPE_LINEAR_ACCELERATION,1.516361,0.275766,1.1267,
1753148607389,TYPE_MAGNETIC_FIELD,11.759999,-20.219999,-110.939995,
1753148607401,TYPE_ACCELEROMETER,0.773327,1.917756,10.692505,
1753148607401,TYPE_ROTATION_VECTOR,0.076614,0.039624,0.094624,0.991769
